id,context,content,translation,when_to_use,difficulty,tags,examples,created_at
chunk_001,Conversação Básica,How are you doing today?,Como você está hoje?,Cumprimento informal e amigável no dia a dia.,beginner,"greeting,daily,informal","How are you doing today? Pretty good, thanks!",2024-01-01T00:00:00Z
chunk_002,Conversação Básica,What do you do for a living?,O que você faz para viver?,Pergunta comum ao conhecer alguém em contexto social ou profissional.,beginner,"introduction,work,social",What do you do for a living? I'm a software engineer.,2024-01-01T00:00:00Z
chunk_003,Negócios,Let's schedule a meeting to discuss this further.,Vamos agendar uma reunião para discutir isso mais detalhadamente.,Ambiente profissional quando precisa aprofundar uma discussão.,intermediate,"business,meeting,professional",Let's schedule a meeting to discuss this further. How about Tuesday?,2024-01-01T00:00:00Z
chunk_004,Restaurante,"Could I have the bill, please?","Poderia me trazer a conta, por favor?",Ao final de uma refeição para pedir a conta no restaurante.,beginner,"restaurant,dining,polite","Could I have the bill, please? Keep the change.",2024-01-01T00:00:00Z
chunk_005,Viagem,Where is the nearest subway station?,Onde fica a estação de metrô mais próxima?,Quando precisa de informações sobre transporte público em cidade desconhecida.,beginner,"travel,transport,directions",Where is the nearest subway station? It's two blocks from here.,2024-01-01T00:00:00Z
chunk_006,Acadêmico,Could you elaborate on that point?,Você poderia elaborar mais sobre esse ponto?,Em aulas ou reuniões quando quer entender melhor um tópico específico.,intermediate,"academic,learning,formal",Could you elaborate on that point? I didn't quite catch it.,2024-01-01T00:00:00Z
chunk_007,Social,I'm really looking forward to the weekend.,Estou realmente ansioso para o fim de semana.,Expressar entusiasmo sobre eventos futuros ou planos.,intermediate,"social,plans,emotion",I'm really looking forward to the weekend. We have a party to attend.,2024-01-01T00:00:00Z
chunk_008,Profissional,I'll get back to you by end of day.,Te dou retorno até o final do dia.,Prometer retorno com prazo definido em ambiente de trabalho.,intermediate,"business,deadline,communication",I'll get back to you by end of day with the report.,2024-01-01T00:00:00Z
chunk_20260718102022_9801,Saude,I don't feel well today.,Nao me sinto bem hoje.,Quando esta doente ou nao se sente bem.,beginner,"health,sick,daily",I don't feel well today. I think I have a fever.,2026-07-18T13:20:22.827337+00:00
chunk_20260718102022_5405,Educacao,Could you explain this again?,Voce poderia explicar isso de novo?,Em sala de aula quando nao entendeu algo.,beginner,"education,classroom,learning",,2026-07-18T13:20:22.866541+00:00
chunk_20260718102022_2483,Educacao,What's the homework for today?,Qual e a licao de casa para hoje?,Ao perguntar sobre tarefas escolares.,beginner,"education,homework,school",,2026-07-18T13:20:22.866803+00:00
chunk_20260718102022_2769,Saude,I need to see a doctor.,Preciso ver um medico.,Quando precisa de atendimento medico.,beginner,"health,doctor,emergency",,2026-07-18T13:20:22.866972+00:00
chunk_20260718102022_4241,Tecnologia,The software update is ready to install.,A atualizacao de software esta pronta para instalar.,Ao notificar sobre atualizacoes de programas.,intermediate,"technology,software,updates",The software update is ready to install. Restart your computer.,2026-07-18T13:20:22.895270+00:00
chunk_20260718102022_8983,Tecnologia,Could you help me with this app?,Voce poderia me ajudar com este aplicativo?,Ao pedir suporte tecnico.,beginner,"technology,help,support",,2026-07-18T13:20:22.895312+00:00
chunk_20260718102022_5047,Musica,Do you like this song?,Voce gosta dessa musica?,Perguntar sobre preferencia musical,beginner,music,preferences,2026-07-18T13:20:22.898184+00:00
chunk_20260718102022_9747,Musica,I play the guitar.,Eu toco guitarra.,Falar sobre hobbies musicais,beginner,music,hobbies,2026-07-18T13:20:22.898280+00:00
chunk_20260718102022_2629,Cinema,What movie are we watching?,Que filme vamos assistir?,Ao escolher um filme,beginner,cinema,entertainment,2026-07-18T13:20:22.898366+00:00
